user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,source,is_retweet,hashtags
Ladja,"New York, NY","Consulting/Security & Protective Services 

US/Canada/Africa",26-04-2013 09:23,769,656,2144,FALSE,25-07-2020 12:13,Wit d econs meltdown  bcos of #COVID19 . Wit d battered state of d purchasing power of d citizens. Wt d rising pove… https://t.co/PI4q8PI0uY,Twitter for Android,FALSE,['3M8210'] 
Mary Farmer 🇬🇧 Stop Cyber Bullying,Gloucestershire UK,"A christian, daughter, sister, mother & a friend. God is everything. DM? Go straight to the point, I’m not fluent in small talk. I love a good pun 💕",21-08-2010 19:45,1333,626,5451,FALSE,25-07-2020 12:13,"Yestwrday, a friend’s brother died in Zimbabwe 🇿🇼, they called an ambulance at 2pm, it came at 8pm! #COVID19",Twitter for iPhone,FALSE,['traveling']
Jaimin kumar,Ahmedabad ,DJ and A learner...,17-05-2011 07:23,26,171,161,FALSE,25-07-2020 12:13,"#AhmedabadRain 
Finally,
It looks like rainy season has started now 😍,
May it doesn’t brings hike in #covid19 infec… https://t.co/AceCeHERRk",Twitter for iPhone,FALSE,['3M8210'] 
ChericeAntoinette,United States,Daien & Houston's Mom🧜🏾‍♀️ Creative Writer🧜🏾‍♀️Content Producer 🧜🏾‍♀️ Show Host @thehazelabyss 🧜🏾‍♀️Poetess🧜🏾‍♀️Voice Over Artist 🧜🏾‍♀️Pisces 🧜🏾‍♀,09-07-2010 09:40,1497,2504,12413,FALSE,25-07-2020 12:13,"Children are affected, infected and dying in Florida from Covid19.
#ReopenSafely #ReopeningSchools #health #covid19… https://t.co/3XZPMne57z",Twitter for Android,FALSE,['3M9001']
Broward BATs,,Badass Teachers Association Regional Group -a voice for public education. Facebook and Group Pages at Broward BATs https://t.co/X4mFGSJLc9,27-11-2015 22:39,958,1081,15426,FALSE,25-07-2020 12:13,History will not only account for the dead but also the wicked @GovRonDeSantis #COVID19 https://t.co/90MsXwkUss,Twitter for iPhone,FALSE,['3M8210'] 
Kadambari Shah,,"Senior Associate @IDFCinstitute | Researching urbanisation, state capacity, gender | Aerial acrobat | Views personal",18-10-2016 10:21,480,389,1761,FALSE,25-07-2020 12:13,"Ants may be pesky creatures, but it turns out we could learn a thing or two from them. @SophNaama writes about what… https://t.co/FzUG1KFhJL",Twitter for iPhone,FALSE,['Coronavirus updates']
Musa McArthur MYP,"London, England","Former Member of the Youth parliament for Hillingdon (2019-2020) | HYC Member | @MHCharter | Member @UKLabour
| Medium Articles Below",12-08-2018 14:03,123,290,151,FALSE,25-07-2020 12:13,"This government was too slow to act, and even they now admit that. They followed and did not lead! It's very hard f… https://t.co/0ZlVcPpKkb",Twitter for Android,FALSE,['rules']
Ange,,,05-10-2009 17:47,14,39,508,FALSE,25-07-2020 12:13,"My observations after day 1 of mandatory face masks...I'm seeing a lot of ""chin masks"" and people walking around wi… https://t.co/jWdczSjAND",Twitter for Android,FALSE,['United States']
Shemin,,"Journalist @DeccanHerald, Previously with @PTI_News",19-09-2009 08:36,3155,999,6756,TRUE,25-07-2020 12:13,"Delhi #COVID19 Update Jul 25

New Cases 1142
Total 129531
July 43452 (33.54% of total)

Deaths 29
Total 3806

Disch… https://t.co/62jsJh8TWH",Twitter Web App,FALSE,['U.S. Coronavirus Updates']
Jason Germane,,2020 is awful. #NonewNormal,05-04-2020 19:58,66,166,697,FALSE,25-07-2020 12:13,"Congratulations to Jeff Bezos

The UK government has managed to make  shopping on the high street even less appeali… https://t.co/yGfUeXqVDH",Twitter for Android,FALSE,['United States']
BreakingNewsWW,Toronto,worldwide news mainly “coronavirus”,21-06-2016 01:02,3332,110,10590,FALSE,25-07-2020 12:13,"Catalonia Spain reports 1,493 new #coronavirus cases #COVID19 👀👀",Twitter for iPhone,FALSE,['Vaccine news'] 
Lock’s Garage,,"Petrol Station, fresh produce, post office, animal feeds and much much more!",23-03-2020 13:15,137,27,16,FALSE,25-07-2020 12:13,If you don’t have a mask.......just ask! We will provide one AND ask for a contribution to the West Midlands Air Am… https://t.co/rOTjxSvbT0,Instagram,FALSE,['COVID19']
GlobalPandemic.NET,WORLDWIDE,Breaking News & Critical Information to SURVIVE the Coronavirus Outbreak / Civil Unrest,13-07-2010 21:58,26108,26003,2,FALSE,25-07-2020 12:13,"ALERT: Pregnant women at risk of death in Kenya's COVID-19
curfew - Global Pandemic News | #Coronavirus #COVID19… https://t.co/MIklFXCtvj",GlobalPandemic.NET,FALSE,['U.S. Coronavirus Updates']
Rashid F. Davis,,"Founding Principal of Pathways in Technology Early College High School (P-TECH). The partners are IBM, CUNY, New York City College of Technology and the NYCDOE.",19-04-2009 16:14,2279,1136,13649,FALSE,25-07-2020 12:13,#COVID19 #COVIDー19 #coronavirus #BlackLivesMatter #satchat #ptech #weareptech https://t.co/2tCw7OEqpV An open dialo… https://t.co/CdQNTeh7D1,Twitter Web App,FALSE,['wear mask']
@NaniExperience,"Johannesburg, South Africa",Musician • Producer • Dj,04-03-2020 18:55,102,388,1885,FALSE,25-07-2020 12:13,"Check us out on Spotify as well 
🙌🎶👑🔊🔥👇👇👇👇
https://t.co/v2XKBfaTfj

#GospelHouse 🎶👑🔊💯
#GodGotThis ❤🙌🔥🔥🔥… https://t.co/oeIUQVc6gR",Twitter for Android,FALSE,['United States']
MorningGlory,Surrey UK,Self-Made man - confident reliable honest caring. I stand judged on nothing more than a glance. So careful how quick you click - You may miss a trick!,14-12-2012 12:53,371,289,24707,FALSE,25-07-2020 12:13,could double as a #COVID19 vaccine delivery mechanism @BorisJohnson  @MattHancock @pritipatel https://t.co/hM83eKV2LF,Twitter Web App,FALSE,['COVID19']
Jackie Bickerstaffe,"Liverpool, England","When the world wearies and society fails to satisfy, there is always the garden.",24-06-2012 08:07,169,135,11038,FALSE,25-07-2020 12:13,"Help slow the spread of #COVID19 and identify at risk cases sooner by self-reporting your symptoms daily, even if y… https://t.co/KSyVttdgqo",Twitter for iPhone,FALSE,['wash hands']
Dev,,Love 2 be honest down 2 earth & respect Mother Land Bharat than anything else on Mortal Planet Believes Worship Spiritual identity of Lord Krishna,25-02-2020 03:20,12,367,12,FALSE,25-07-2020 12:13,@OpIndia_com #how #heir @joker @laluprasadrjd @yadavtejashwi #have #little #knowledge @mygovindia @who #thinks… https://t.co/9GyojXmCS7,Twitter Web App,FALSE,['vaccine injection']
Stephanie,CT.,Animal rights activist/vegan/proud Mama of 7 rescue dogs.,20-04-2011 20:24,163,166,598,FALSE,25-07-2020 12:13,Sign the Alert to Stop Deadly Mass Killing of #Animals in #University Labs Due to #COVID19 https://t.co/tzaxAeeS14,Twitter Web App,FALSE,['China news']
Two sides to every story,,Trying to see the truth through the smoke and mirrors,16-05-2020 14:28,1,0,28,FALSE,25-07-2020 12:13,"@jennfranconews @realDonaldTrump Each of you should look not only to your own interests, but also to the interests… https://t.co/g3bYHLyXd4",Twitter Web App,FALSE,['wash hands']
Raza Ahmad Rumi,"Ithaca, NY","Journalism, public policy, intl development—Books: @DelhibyHeart; The Fractious Path; Being Pakistani; Identity, Faith & Conflict; The Role of Public Admin.",12-10-2007 06:16,492605,6899,58197,TRUE,25-07-2020 12:13,The latest Islam and Islamism! https://t.co/1Gx3WUOc9r #berkleyforum #covid19,Paper.li,FALSE,['China Coronavirus Updates']
Mx. Joe~Anthony Sierra Let us pray #COVID19 away,#StGeorge~#StatenIsland~#NYC,Hope to be insightful,03-05-2013 03:46,355,228,3685,FALSE,25-07-2020 12:13,#Hope #USA #Trump vilifying #USPS &amp; #Amazon while (Republicans own premium stock) catering to them by #Postmaster w… https://t.co/wznVS6kWKo,Twitter Web App,FALSE,['Stay at home']
TOI Andhra Pradesh,,Your city. Your neighborhood. Your block. Covered for you by https://t.co/VSKi1mCAsZ,21-06-2017 10:23,4173,6,0,TRUE,25-07-2020 12:13,"#AndhraPradesh reports 7,813 new #COVID19 cases on Saturday as the tally goes up to 88,671. The death toll increase… https://t.co/Pk3YJjwX19",TweetDeck,FALSE,['Mask shortage']
COVID-19: The Numbers,"Florida, USA",A robot that tweets the numbers behind COVID-19. Built by @al5ina5.,21-07-2020 08:53,14,87,3,FALSE,25-07-2020 12:13,#Coronavirus in #Andorra: There is a total of 52 confirmed deaths from #COVID19.,Sebastian's Twitter Bot,FALSE,['wash hands']
SungManitu/2020,Canada 🇨🇦,"Since 2011 Dedicated to #endbashar & #putinwarcriminal #SaveSyriasChildren
#FreeSyria + other interests. روح الذئب",29-06-2019 23:05,1141,2648,40401,FALSE,25-07-2020 12:12,"@fordnation
Please don't go in like a bunch of storm troopers !
The migrant workers are afraid of being deported so… https://t.co/w0D37rCtza",Twitter for Android,FALSE,['mask types']
Ines Abdelaziz ✨,"London, England","‏
 .ا يناس عبد اللة عبد العز يز💫",18-10-2011 22:14,35,353,1150,FALSE,25-07-2020 12:12,Wear a face cover or pay £100 fine. New laws imposed in London #covid19 #London ''. Lol. I Chose to cover it up. https://t.co/AO2qMQ1Vln,Twitter for Android,FALSE,['Mask shortage']
TNIE Andhra Pradesh,Vijayawada,Official account of @NewIndianXpress Andhra Pradesh. Follow us for the latest & accurate news and stories,11-11-2019 08:33,3426,179,769,FALSE,25-07-2020 12:12,"#COVIDUpdates: AP records as many as 7,813 new cases in the last 24 hours taking the tally to 88,671. 52 deaths wer… https://t.co/doN2jrcaTe",Twitter for Android,FALSE,['China news']
Arnie TRUST DR. FAUCI Martinez🇸🇻🇺🇸😷🤒🌊,,"THINK OF OUR #Immunocompromised FRIENDS AND #STAYHOME!!
🧓👴👵🏼🤱🙅‍♂️🙅‍♀️👫👬👭😷 #TrustDrFauci, OK?!?! HE'S SAVING YOUR LIFE!! #CORONAVIRUS

#FBR #Resist",02-11-2018 12:10,378,708,7886,FALSE,25-07-2020 12:12,"Remember when #Drumpf said #TexasIsHeeling?? Well, they're getting screwed several times over today!! Not to mentio… https://t.co/B5PLXiC3Gh",Twitter for Android,FALSE,['3M9322']
Donna Clifford,"North West, England","Photography is my Passion.
Documentary and Press Photographer. 
News, Features, Commercial, PR.
A love for Landscapes & Dragon Boat Racing 📷🚣‍ ©DonnaClifford",26-04-2012 17:54,1733,1437,1817,FALSE,25-07-2020 12:12,"Ringway, Preston (14th May 2020 and 24th July 2020)
I will be releasing another video this weekend from the past co… https://t.co/X98cNByTW3",Twitter for Android,FALSE,['3M9001']
Shantiswarup Mahapatra ©,India,"Home maker in #lockdown, #mechanical engineer by education, #entrepreneur by profession. #Career interests: #Design #IT. #Foodie by choice & #Lazy by nature 😀",30-12-2009 13:45,432,432,5470,FALSE,25-07-2020 12:12,The statistics in the #pic gives info that #Assam is performing better than #Odisha in their fight against #COVID19… https://t.co/rdrtsDfWyF,Twitter for Android,FALSE,['Coronavirus updates']
Mindful,Canada,"God, Altruism, Human Rights, Social Justice, Karma. Artist, Hobbyist, Serial Entrepreneur, Politico.",15-02-2012 20:20,2146,1968,572,FALSE,25-07-2020 12:12,"'Not what we should be doing': Few masks, no social distancing at crowded Falls attractions | CBC News https://t.co/TFwjEhdLHI #COVID19",Twitter Web App,FALSE,['3M8210'] 
Rory Burnside,Melbourne but I tour worldwide,"I'm blind, I have Aspergers Syndrome and Epilepsy. I sing and co-write songs for Rudely Interrupted. I love my animals and listening to sports on the radio.",03-08-2012 04:50,1669,3837,14515,FALSE,25-07-2020 12:12,"If you think I’m buying any of these rumours of us being locked down or restricted for up to 2 years, forget it. It… https://t.co/aEQZaqs79U",Twitter for iPhone,FALSE,['3M9322']
marklaverdure,Los Angeles & Billings,"I have passion for living life to it's fullest. Always out and about ...I Work hard, play harder...it's all about having fun!",04-03-2011 15:17,10078,10316,19623,FALSE,25-07-2020 12:12,@realDonaldTrump Remember the #WorstPresidentInHistory #trumpdeathtoll147K 4.2 Million cases of #COVID19 Millions U… https://t.co/tv0DXaS2nJ,Twitter Web App,FALSE,['3M9001']
Business Standard,India,"Latest updates #news #LIVE coverage on #economy #companies #markets #politics and #technology from India's leading business daily
https://t.co/VVl6HGuvvc",01-06-2009 08:52,1969497,380,140,TRUE,25-07-2020 12:12,"With increased testing of samples for Covid-19, the fatality rate has significantly dropped to 2.35% on Saturday an… https://t.co/48x8cQ6sxA",TweetDeck,FALSE,['traveling']
Maryellen Alvarez,"New Jersey, USA",Patriot/Cat lover/retired,19-09-2012 04:07,58,180,6845,FALSE,25-07-2020 12:12,CDC changes COVID-19 guidance on how long people need to be isolated https://t.co/LqEQKBBQAN via @nbcnews #COVID19 #theyhavenoidea,Twitter for iPad,FALSE,['3M9501']
Suky Spook,England,"Expect the unexpected, it's a deep rabbit hole. Non reliquit lapis qui non reversatur.",21-07-2011 09:49,1960,1956,95918,FALSE,25-07-2020 12:12,👀 A plea to #mask wearers to read this as THIS is why many #NoMasks don’t want to blindly follow “govt” edicts on… https://t.co/uQWjZyPQ7j,Twitter for iPhone,FALSE,['Flights'] 
knight_Nostalgia,Trichy,"அகில இந்திய முஸ்லிம் லீக், திருச்சி மாநகர் மாவட்ட செய்தி தொடர்பாளர்.",12-12-2013 13:08,210,967,3294,FALSE,25-07-2020 12:12,#MP CM #ShivrajSinghChouhan tested positive for #COVID19 . There's been news that bcoz of him many ministers as wel… https://t.co/c1ia1QsqXQ,Twitter for Android,FALSE,['Coronavirus updates']
Adekintan Sanusi,,"*BRAND INFLUENCER* *TEACHER* *COUNSELLOR* *PROMOTER*
GAIN 1K FOLLOWERS WEEKLY",19-12-2019 06:34,672,909,1954,FALSE,25-07-2020 12:12,(6) We never rise beyond the level of our knowledge. This is why you must keep acquiring new and helpful informatio… https://t.co/Z4EDRcuMTU,Twitter for Android,FALSE,['3M8210'] 
The AssarV10 Team™©,"California, USA",The AssarV10 Team™©,23-12-2015 07:40,2565,779,9732,FALSE,25-07-2020 12:12,Two students tested positive for coronavirus after taking the ACT at an Oklahoma high school… https://t.co/DRNa3Uq3th,assarofficial,FALSE,['USA']
William Laferriere,"Boston, MA","attentive, articulate defender of the urge to get things right",14-10-2011 00:36,638,1177,11776,FALSE,25-07-2020 12:12,Sending the science deniers home to their fellow MAGATs.  #BlueWave2020 #COVID19 https://t.co/BKMbdjClDk,Twitter for iPad,FALSE,['US']
🍩 WEAR A MASK!,☁️,Professional polka dot maker and bubble wrap popper.,07-12-2012 10:15,964,889,4035,FALSE,25-07-2020 12:12,"Home-made cloth face masks likely need a minimum of two layers, and preferably three, to prevent the dispersal of v… https://t.co/PssY9MisDQ",Twitter Web App,FALSE,['USA']
numbers97413,,"COVID patients continue having positive nasal swab Coronavirus tests for up to 12 weeks AFTER having recovered & being non-contagious :
https://t.co/XxMpZIVH0B",08-07-2020 03:12,6,28,187,FALSE,25-07-2020 12:12,@Die_Diktatur @FatEmperor @WHO 2009 was just the rehearsal for #COVID19,Twitter Web App,FALSE,['United States']
Keerthana J,"Hyderabad, India","Foodie, Software Engineer",10-11-2017 06:29,747,0,91,FALSE,25-07-2020 12:12,"#AndhraPradesh 

Andhra Pradesh registered single-day spike of 7,813 #COVID19 positive cases &amp; 52 deaths in last 24… https://t.co/2xK87RJYnF",Twitter for Android,FALSE,['traveling']
ワイバーン,,公務員,13-01-2014 04:23,848,731,40,FALSE,25-07-2020 12:12,How well are you dealing with the COVID-19 outbreak? This survey developed by psychologists from around the world p… https://t.co/N3l6dIa4O9,Twitter Web App,FALSE,['traffic']
Anthonia👩🏻‍🎓,Nigeria,Linguist• writer • Human Rights Enthusiast ⚖️ ...save the planet 🌎  #academia,18-01-2017 13:37,205,153,10553,FALSE,25-07-2020 12:12,The thing about being #LightSkinned is that every bruise on your body can be seen from Mars 🌝plus the fact that you… https://t.co/MwqNMipANn,Twitter for iPhone,FALSE,['Vaccine news'] 
Kᴏʟʟʏ Sᴛᴜᴅɪᴏꜱ ™,india,"Instant Gallery | BoxOffice Stats | Movie Updates | Social Media Promotion | Cine - City - Sports News | Entertainment Portal | DM For Promos
 📲 9715191111",11-11-2010 23:22,91354,1561,2804,FALSE,25-07-2020 12:12,"Actor @VishalKOfficial and his father Mr.G.K.Reddy tested positive for #Covid19 15/20 days back..

While #Vishal 's… https://t.co/yXdPgtkW92",Twitter for Android,FALSE,['United States']
Vamsi Shekar,"Hyderabad, India",PRO and Journalists in Telugu Film Industry | Follow us in FB on https://t.co/rJhQIYqWRr Insta on https://t.co/2PfxY6oab9,02-10-2016 06:11,29871,404,25304,FALSE,25-07-2020 12:12,". @PawanKalyan about resuming movie shootings in his latest interview.
#Covid19 #Janasena #Powerstar #VakeelSaab https://t.co/bpalIFxA6F",Twitter for Android,FALSE,['Stay at home']
BODYSLAM.NET,"North Carolina, USA","Check out our site https://t.co/9XfqqoJL2A for all your pro wrestling news & rumors, and make sure to follow us! Owned & Founded by @Casshooole.",01-02-2012 07:47,25425,19091,25201,FALSE,25-07-2020 12:12,"Another WWE employee has contracted COVID-19

Via @PWCDeez

#WWE #WrestleMania #COVID19 #Coronavirus

https://t.co/6sxCU0hn7a",Twitter for Android,FALSE,['COVID19']
Sajjad Ali Altamash,Br-e-Sageer,| A Man Who Composed in Woman Womb And relates from Hominidae But i Am Mud Actually | Bluish |,07-08-2018 07:19,181,7,361,FALSE,25-07-2020 12:12,"Thats What i got In This Productive Quarantine ,  After a Hard Assignments and Quizzes . #Productive  #COVID19… https://t.co/B7mEqHTPHm",Twitter for iPhone,FALSE,['social distancing']
TriBeCa Care,"Kolkata, India","From 24x7 Emergency Support to Home Care, Senior Travel to Club Tribeca, we support seniors in every aspect of their lives. Begin a new life with us!",02-05-2014 11:24,137,982,115,FALSE,25-07-2020 12:12,"In order to help people opting for Home Isolation, TriBeCa Care has come up with a remote monitoring package.  Cont… https://t.co/XW2uPlBAxj",Twitter Web App,FALSE,['wear mask']
Shabraiz Bashir (شبریز بَشیر),Jammu And Kashmir,Cheif Editior News 70 Kashmir and Special Correspondent The Dispatch,03-11-2018 17:14,336,79,479,FALSE,25-07-2020 12:12,"#COVID19 : Restriction extended in #kupwara till 3 August. 
#CoronaVirusUpdate #FightAgainstCOVID19 #PANDAMIC https://t.co/XeP0c0LBRD",Twitter for Android,FALSE,['China news']
Stuart “Man” Harrison 👀,East Coast,"So, Twitter jail - am I right?! Fresh account for an old member of the resistance. WEAR A MASK!!!",21-07-2020 22:06,3,124,260,FALSE,25-07-2020 12:12,@NBCNews @gtconway3d and... can the press knock it off with this whole “change of tone” this week from Trump. It’s… https://t.co/7Bgj4C9atH,Twitter for iPad,FALSE,['vaccine progress'] 
CILT Ireland,Dublin,"Professional body for #Logistics, #Transport and #SupplyChainManagement in #Ireland
CILT Ireland is a Registered Charity: Number CHY6502",21-10-2013 15:42,924,517,1432,FALSE,25-07-2020 12:12,A big thank you to the team Cenit College in Nass and their ongoing support for our #ADR #Exams. Due to #COVID19 re… https://t.co/SJmuYI5DNR,Buffer,FALSE,['vaccine progress'] 
The Lancet Infectious Diseases,London,"The Lancet Infectious Diseases is the leading clinical infectious diseases journal for peer-reviewed research and review, comment, and news. IF=24.446",06-03-2014 16:55,41714,242,760,FALSE,25-07-2020 12:12,New Personal View: Need for sustainable biobanking networks for #COVID19 and other diseases of epidemic potential https://t.co/jmYKciZOju,Twitter for iPhone,FALSE,['China news']
CBC Day 6,Canada,"CBC Radio One Saturdays at 10 am (10:30 NT), Sundays 1 am (1:30 NT)  |  Sirius XM Saturdays at 10 am ET, and Sundays at 6 am ET | Syndicated on PRI.",11-08-2010 18:31,17038,2603,2368,TRUE,25-07-2020 12:12,"#COVID19 has worsened an already dire opioid crisis. There are fewer social supports, people battling addictions mu… https://t.co/WIN1DZkoYn",TweetDeck,FALSE,['Mask shortage']
Mark Thoms,"Mount Prospect, IL","United Airlines employee, but all thoughts, posts, reposts  and opinions are my own.",14-01-2010 15:23,119,455,1886,FALSE,25-07-2020 12:11,"Passengers cheer as ‘Karen’ is kicked off flight for refusing to wear mask
#airlines 
#coronavirus 
#covid19 
#Mask  https://t.co/3VimRsfAUb",EveryoneSocial,FALSE,['N50']
Yugan,"Trincomalee , Sri Lanka",News Update (Tamil & English ) | Current Scenario | Current Situation |,23-04-2019 14:31,25,604,41,FALSE,25-07-2020 12:11,"🔴Corona Alert |
Four arrivals from Chennai tested positive for Covid-19 raising the total in Sri Lanka to 2,768.… https://t.co/AwDjGiZvDT",Twitter for Android,FALSE,['social distancing']
JB,Vermont,"R.N.-Retired. Wife to super smart & humble guy, Mom to 4 great kids. Catholic, Pro-Life. #SCOTUS #resister #votebluenomatterwho #marchforourlives #resistance 🌊",23-09-2013 13:12,3187,4722,9490,FALSE,25-07-2020 12:11,"Oh for fvck’s sake @CNN @sarahcwestwood STOP WITH THE BS. #trump has not changed his tone. So @FoxNews. 
#CNN weeke… https://t.co/4DVBg0cCqF",Twitter for iPhone,FALSE,['Mask shortage']
Humble,"Saint Louis, Missouri","Pray(The Lord's Prayer), Repent, and Bless your food correctly(Body&Blood). #TheElements Everything else is man made.",14-04-2009 17:07,1958,1848,12,FALSE,25-07-2020 12:11,Teachers dealing with gettin they students in virtual class who have Parents that are just no help at all. So eithe… https://t.co/1xNXd2wH2t,Twitter for Android,FALSE,['China Coronavirus Updates']
Wood Inn Birdhouses,"Florida, USA","Proudly Made and Hand Crafted in USA by Wood Inn Birdhouses using NW, US Reforested Premium Inland Cedar and SE, US Reforested Selected Natural Whitewood Boards",17-04-2020 16:10,2,19,60,FALSE,25-07-2020 12:11,@NYCAudubon #Audubon #SaturdayMorning #SaturdayVibes #COVID19 #SaturdayThoughts #SaturdayMotivation #free shipping… https://t.co/VUTtHfSyPo,Twitter for iPhone,FALSE,['mask types']
TinkerLane 😷 Mask/Handwashing/Distance ⚽🗽🌌🍷🐋🌊,"Virginia, USA",Luv travel w. wife; lib male; #MFImpeached #Resist #PRU #VoteBlueNoMatterWho #EradicateGOP🌊. Unfollow begets unfollow. MAGAts blocked,23-02-2009 21:32,4809,4920,2021,FALSE,25-07-2020 12:11,"The #OrangeBaboon wants to make sure we have over 150K dead from #COVID19 before the end of July!

7/24: 148490 dea… https://t.co/cOVtyFoRrL",Twitter Web App,FALSE,['3M8210'] 
Emmanuel Returns,,Emmanuel is a reference to the character by that name in George Orwell's book 1984.,14-05-2020 17:53,19,125,1346,FALSE,25-07-2020 12:11,"How did America go from
the land of the free and home of the brave
to
the land of the acquiescent and home of the f… https://t.co/EoRJn52zBv",Twitter for Android,FALSE,['Mask shortage']
Paul Revere Karate Chop,,Co-host of Majestic Ears Only podcast; love spaceflight from mainstream to conspiracy; Pittsburgh sports; pulled into politics more often than I want to be.,17-04-2011 10:51,632,1320,26426,FALSE,25-07-2020 12:11,"https://t.co/v4w6cLyHhu

RFK Jr soars. Phenomenal read about the LACK of scientific testing behind #vaccine development. #COVID19",Twitter for iPhone,FALSE,['3M9001']
titus tittoh,70%Burkina Faso / 30%Zambia,The Key to time management is to see the value of every moment,26-10-2010 08:16,283,325,1894,FALSE,25-07-2020 12:11,Together as One! #Covid19 #EconomicRecovery https://t.co/DwABLnFpjR,Twitter for iPhone,FALSE,['3M8210'] 
Sarkazzum,United States of America,"I'm just that guy with severe depression, anxiety, OCD, diabetes, and high blood pressure. Tweeting funny stuff helps me relax. This is cheaper than therapy.",08-07-2020 04:38,12,22,19,FALSE,25-07-2020 12:11,We've progressed to the point that we're joking about #COVID19 . That's good...now if we could just get some sort o… https://t.co/AKDfTtpsFY,TweetDeck,FALSE,['N95']
Samia Ali Salama,"Pennsylvania, USA","Mother #veteran #liberal #atheist #poet, #LGBTQ ally. Lover of peoples and languages. NYer, born 1955. #VoteBlue #BLM https://t.co/UcVhJ09i6I",27-10-2009 13:30,3134,2794,90437,FALSE,25-07-2020 12:11,"@forwardarc @realDonaldTrump @VP If the U.S. doesn’t lock down, we’re stupid, and will reap what we sowed. 
And I c… https://t.co/7hwD0gcNOt",Twitter for iPhone,FALSE,['3M9501']
TraderStef,Live Free or Die - NH USA,"TraderStef ™ Author Investor Trader - Fusion/Technical Analysis, Precious Metals Gold, Silver, Miners, Stock Market. Not a Financial Advisor - Follow at Website",10-09-2013 16:20,8554,1357,1724,FALSE,25-07-2020 12:11,"so lets pack'em all into schools in late summer/fall, big mistake for now as young are always a major disease vecto… https://t.co/uCNLTAsTnU",Twitter Web App,FALSE,['3M8210'] 
Phil Neilsen,"London, England",,30-10-2014 01:16,26,454,1413,FALSE,25-07-2020 12:11,@funder Cannot imagine ANY #American in a right state of mind ever voting for the LUMP OF MASS unless they're membe… https://t.co/3AbFjr96H8,Twitter for Android,FALSE,['traveling']
Chris,United States,Jack of all trades... Master of some,30-06-2017 01:14,122,122,3098,FALSE,25-07-2020 12:11,If schools reopen the spread of #COVID19 will be on a biblical scale.,Twitter for iPhone,FALSE,['Coronavirus updates']
Dorathybachor,,I am Dorathy Bachor and I am contestant no 8 in the ongoing bbnaija lockdown season 5 (2020). Kindly follow me both on twitter and IG: @dorathybachorbusty.,20-07-2020 05:35,11,1,1,FALSE,25-07-2020 12:11,"Hello #dorathians. Let's hit 1k followers on Twitter.  Kindly retweet and follow 😘 
https://t.co/Jp8aRjoEE3… https://t.co/ADPR7A7qCN",Twitter for Android,FALSE,['news']
S Mannar Mannan,"Coimbatore, Tamil Nadu","Deputy Chief of Bureau, The New Indian Express, Coimbatore  @NewIndianXpress @xpresstn",26-09-2009 07:15,1005,418,131,FALSE,25-07-2020 12:11,"With #Coimbatore district administration announcing complete #lockdown from 5 pm on Saturday till 6 am on Monday, h… https://t.co/T66nLKWg9M",Twitter Web App,FALSE,['Flights'] 
marklaverdure,Los Angeles & Billings,"I have passion for living life to it's fullest. Always out and about ...I Work hard, play harder...it's all about having fun!",04-03-2011 15:17,10078,10316,19623,FALSE,25-07-2020 12:11,@realDonaldTrump #TrumpDeathToll148K 4.2 Million cases of #COVID19 Millions Unemployed! #TrumpPandemicFailure… https://t.co/FbcBToXKQC,Twitter Web App,FALSE,['United States']
Dr. Alia Shah,"City of London, London",Founder & #CEO #APR360; Global Top 50 #PR & #UK Top 30 #Marketing; #PublicRelations #Branding; #ThoughtLeader; #Strategy #Publicity #Influencer; #Photography,07-06-2012 09:15,6229,302,3177,FALSE,25-07-2020 12:11,"Cheap #virus-killing spray that costs pennies could end Britain's #coronavirus, #COVID19 nightmare https://t.co/LSVcYqIweS",Twitter for Android,FALSE,['COVID19']
Project Alert VAW,"Lagos, Nigeria",Project Alert is a non-governmental women's rights organisation set up in January 1999 to promote and protect the rights of women and young girls.,07-07-2011 10:52,2334,103,959,FALSE,25-07-2020 12:11,One of the roles these survelliance team play in the community is to respond to and also support women and girls ex… https://t.co/lXtL03iXUO,Twitter for Android,FALSE,['Flights'] 
MMBBDomains,United States,"#Political/#election/#business/#news/#arts & #lifestyle #domains. US-based. Views own. RTs & likes don't = endorsement/affiliation, on our part or theirs.",07-11-2019 17:07,93,66,212,FALSE,25-07-2020 12:11,"#Hurricane may hit area with major #COVID19 spread &amp;  full hospitals. This is why we need

https://t.co/nLfpY1vEvZ… https://t.co/DulqthAtyT",Twitter for Android,FALSE,['Vaccine news'] 
Jordan (Free Palestine),"Belfast, Northern Ireland",just a wee socialist trying to spread love & solidarity to all the cool people in the world. #FreePalestine #FreeGaza 🇵🇸 #ClimateJustice #BLM  💚🐝🌍❤️🌈,22-04-2019 18:14,503,1053,24673,FALSE,25-07-2020 12:11,"Day 31: #FreePalestine
Palestinians are still in danger of #COVID19. #PalestiniansLivesMatter #EndApartheidNow… https://t.co/chDHeKuOgE",Twitter for iPhone,FALSE,['traffic']
SRV Mamata Hospital,"Kalyan Dombivali, India",Dombivali's 1st Tertiary Care Hospital,25-07-2018 09:54,12,6,0,FALSE,25-07-2020 12:11,"SRV Group of Hospitals is dedicated in making neighborhood healthy.
To book an appointmentr our SRV experts call 86… https://t.co/QdaKcO06JW",Twitter Web App,FALSE,['U.S. news']
